product_id,title,skus,publication_name,publication_id,published_on_publication,has_media,desired_published_on_publication,status
gid://shopify/Product/15724504940928,L: TUSKGOR FUR 12ML ROW X6,9918995134406,Online Store,gid://shopify/Publication/308211384704,true,false,false,unpublished
gid://shopify/Product/15724505006464,L: GAUSS BLASTER GREEN 12ML ROW X6,9918995137406,Online Store,gid://shopify/Publication/308211384704,true,false,false,unpublished
gid://shopify/Product/15724506415488,AOS S/E + PAINT SET ENG/SPA/PORT/LATV/RM,52170218004,Online Store,gid://shopify/Publication/308211384704,true,false,false,unpublished
gid://shopify/Product/15724506513792,L: TECLIS BLUE 12ML ROW X6,9918995131506,Online Store,gid://shopify/Publication/308211384704,true,false,false,unpublished
gid://shopify/Product/15724506579328,WHITE DWARF 523 (APR-26) (ENGLISH),60249999665,Online Store,gid://shopify/Publication/308211384704,true,false,false,unpublished
gid://shopify/Product/15724532793728,GETTING STARTED WITH WARHAMMER 40K (ENG),60040199169,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724670517632,BLOOD BOWL: LIZARDMEN TEAM,99120908002,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724698763648,IDONETH DEEPKIN: AKHELIAN ALLOPEX,99120219030,Online Store,gid://shopify/Publication/308211384704,true,false,false,unpublished
gid://shopify/Product/15724791693696,WRAITHBONE SPRAY PAINT (UK/ROW) (6-PACK),9920999909106,Online Store,gid://shopify/Publication/308211384704,true,false,false,unpublished
gid://shopify/Product/15724794708352,CITADEL SMALL BASE BRUSH (3-PACK),9919999904303,Online Store,gid://shopify/Publication/308211384704,true,false,false,unpublished
gid://shopify/Product/15724821840256,Catan 6th Edition (2025),558 CN3081,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724826755456,Monopoly Classic,285 G0009,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724833997184,"Spiderman, 4 in a Box",542 12004201,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724835438976,CRYPT - Alice Roberts,978-1398519251,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724835570048,Kink Stories,978-1398503212,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724835701120,ABBA Though the Ages - Giles Smith,978-1398529731,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724835832192,After Ever Happy - Anna Todd,978-1982131180,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724836127104,"Charlie, Love and Cliches - Ella Maise",978-1398521643,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724836258176,Conviction - Jack Jordan,978-1398505742,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724836422016,Do No Harm - Jack Jordan,978-1398505704,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724836651392,My Mother and I - Ingrid Seward,978-1398515208,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724836815232,Off to the Races - Elsie Silver,978-1398539204,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724836979072,The Bone Code - Kathy Reichs,978-1471188923,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724837241216,The Front Runner - Elise Silver,978-1398539419,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724838322560,"One Piece Manga - Vol 1,2,3",978-1421536255,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724838453632,Demon Slayer Complete Box Set,978-1974725953,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724840649088,Book - Dinosoars in my School,9780702323058,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724840780160,India Express - Rukmini Iyer,9781529110074,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724840911232,The Sweet Roasting Tin - Rukmini Iyer,9781529110432,Online Store,gid://shopify/Publication/308211384704,false,true,true,published
gid://shopify/Product/15724502319488,ORKS: GHAZGHKULL DICE,99220103008,Google & YouTube,gid://shopify/Publication/315394032000,false,true,true,published
gid://shopify/Product/15724502450560,ARMAGEDDON BATTALION: ORKS,99120103126,Google & YouTube,gid://shopify/Publication/315394032000,false,true,true,published
gid://shopify/Product/15724502548864,ARMAGEDDON BATTALION: ASTRA MILITARUM,99120105150,Google & YouTube,gid://shopify/Publication/315394032000,false,true,true,published
gid://shopify/Product/15724502614400,ASTRA MILITARUM: COMMISSAR YARRICK,99120105138,Google & YouTube,gid://shopify/Publication/315394032000,false,true,true,published
